1,128,0,0
2,255,0,0
3,251,85,28
4,255,131,0
5,255,165,0
6,255,223,34
7,255,166,43
8,253,255,56
9,255,253,1
10,103,150,106
11,124,252,0
12,112,130,56
13,135,182,19
14,150,249,123
15,0,255,0
16,0,100,0
17,157,193,131
18,96,255,0
19,152,251,152
20,63,224,208
21,0,197,205
22,174,198,207
23,135,206,235
24,68,78,81
25,0,0,255
26,0,0,138
27,173,216,230
28,0,0,128
29,0,6,144
30,238,130,238
31,230,230,250
32,200,162,200
33,215,62,90
34,255,0,255
35,227,11,93
36,235,166,201
37,255,209,220
38,250,218,221
39,248,131,121
40,250,128,114
41,243,123,148
42,210,180,140
43,125,78,41
45,165,42,42
46,53,40,30
47,128,128,128
48,211,211,211
