128,0,0
255,0,0
251,85,28
255,131,0
255,165,0
255,223,34
255,166,43
253,255,56
255,253,1
103,150,106
124,252,0
112,130,56
135,182,19
150,249,123
0,255,0
0,100,0
157,193,131
96,255,0
152,251,152
63,224,208
0,197,205
174,198,207
135,206,235
68,78,81
0,0,255
0,0,138
173,216,230
0,0,128
0,6,144
238,130,238
230,230,250
200,162,200
215,62,90
255,0,255
227,11,93
235,166,201
255,209,220
250,218,221
248,131,121
250,128,114
243,123,148
210,180,140
125,78,41
165,42,42
53,40,30
128,128,128
211,211,211
